"","Year","Round","Region Number","Region Name","Seed","Score","Team","Opponent","Opp_Score","Opp_Seed","Win"
"1674",2014,1,3,"West",15,35,"American","Wisconsin",75,2,0
"1675",2014,1,3,"West",3,76,"Creighton","Louisiana Lafayette",66,14,1
"1676",2014,1,3,"West",14,66,"Louisiana Lafayette","Creighton",76,3,0
"1677",2014,1,3,"West",4,73,"San Diego St","New Mexico St",69,13,1
"1678",2014,1,3,"West",13,69,"New Mexico St","San Diego St",73,4,0
"1679",2014,1,3,"West",5,75,"Oklahoma","North Dakota St",80,12,0
"1680",2014,1,3,"West",12,80,"North Dakota St","Oklahoma",75,5,1
"1681",2014,1,3,"West",6,74,"Baylor","Nebraska",60,11,1
"1682",2014,1,3,"West",11,60,"Nebraska","Baylor",74,6,0
"1683",2014,1,3,"West",7,87,"Oregon","BYU",68,10,1
"1684",2014,1,3,"West",10,68,"BYU","Oregon",87,7,0
"1685",2014,1,3,"West",8,85,"Gonzaga","Oklahoma St",77,9,1
"1686",2014,1,3,"West",9,77,"Oklahoma St","Gonzaga",85,8,0
"1687",2014,1,4,"Midwest",1,64,"Wichita St","Cal Poly",37,16,1
"1688",2014,1,4,"Midwest",16,37,"Cal Poly","Wichita St",64,1,0
"1689",2014,1,4,"Midwest",2,57,"Michigan","Wofford",40,15,1
"1690",2014,1,4,"Midwest",15,40,"Wofford","Michigan",57,2,0
"1691",2014,1,4,"Midwest",3,71,"Duke","Mercer",78,14,0
"1692",2014,1,4,"Midwest",14,78,"Mercer","Duke",71,3,1
"1693",2014,1,4,"Midwest",4,71,"Louisville","Manhattan",64,13,1
"1694",2014,1,4,"Midwest",13,64,"Manhattan","Louisville",71,4,0
"1695",2014,1,4,"Midwest",5,83,"St Louis","NC State",80,12,1
"1696",2014,1,4,"Midwest",12,80,"NC State","St Louis",83,5,0
"1697",2014,1,4,"Midwest",6,67,"Massachusetts","Tennessee",86,11,0
"1698",2014,1,4,"Midwest",11,86,"Tennessee","Massachusetts",67,6,1
"1699",2014,1,4,"Midwest",7,87,"Texas","Arizona St",85,10,1
"1700",2014,1,4,"Midwest",10,85,"Arizona St","Texas",87,7,0
"1701",2014,1,4,"Midwest",8,56,"Kentucky","Kansas St",49,9,1
"1702",2014,1,4,"Midwest",9,49,"Kansas St","Kentucky",56,8,0
"1703",2014,2,1,"South",1,61,"Florida","Pittsburgh",45,9,1
"1704",2014,2,1,"South",9,45,"Pittsburgh","Florida",61,1,0
"1705",2014,2,1,"South",2,57,"Kansas","Stanford",60,10,0
"1706",2014,2,1,"South",10,60,"Stanford","Kansas",57,2,1
"1707",2014,2,1,"South",3,53,"Syracuse","Dayton",55,11,0
"1708",2014,2,1,"South",11,55,"Dayton","Syracuse",53,3,1
